Company,ISIN,NSE,BSE,Category
Godrej Industries Ltd.,INE233A01035,GODREJIND,GODREJIND,Mid Cap
Navin Fluorine International Limited,INE048G01026,NAVINFLUOR,NAVINFLUOR,Small Cap
Tata Investment Corporation Ltd.,INE672A01026,TATAINVEST,TATAINVEST,Small Cap
Delhivery Limited,INE148O01028,DELHIVERY,DELHIVERY,Small Cap
Hexaware Technologies Limited,INE093A01041,HEXT,HEXT,Small Cap
J.B. Chemicals & Pharmaceuticals Lt,INE572A01036,JBCHEPHARM,JBCHEPHARM,Small Cap
Central Bank of India,INE483A01010,CENTRALBK,CENTRALBK,Small Cap
K.P.R. Mill Ltd.,INE930H01031,KPRMILL,KPRMILL,Small Cap
Jubilant Foodworks Limited,INE797F01020,JUBLFOOD,JUBLFOOD,Small Cap
CRISIL Ltd.,INE007A01025,CRISIL,CRISIL,Small Cap
Ather Energy Limited,INE0LEZ01016,ATHERENERG,ATHERENERG,Small Cap
Gland Pharma Limited,INE068V01023,GLAND,GLAND,Small Cap
Global Health Limited,INE474Q01031,MEDANTA,MEDANTA,Small Cap
Physicswallah Limited,INE0LP301011,PWL,PWL,Small Cap
CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,INE149A01033,CHOLAHLDNG,CHOLAHLDNG,Small Cap
MINDSPACE BUSINESS PARKS REIT,INE0CCU25019,MINDSPACE,MINDSPACE,Small Cap
Emcure Pharmaceuticals Limited,INE168P01015,EMCURE,EMCURE,Small Cap
Mangalore Refinery & Petrochemicals,INE103A01014,MRPL,MRPL,Small Cap
Go Digit General Insurance Limited,INE03JT01014,GODIGIT,GODIGIT,Small Cap
Garden Reach Shipbuilders & Engineers Limited,INE382Z01011,GRSE,GRSE,Small Cap
Lic Housing Finance Ltd.,INE115A01026,LICHSGFIN,LICHSGFIN,Small Cap
Exide Industries Ltd.,INE302A01020,EXIDEIND,EXIDEIND,Small Cap
SJVN LIMITED,INE002L01015,SJVN,SJVN,Small Cap
Star Health and Allied Insurance Company Limited,INE575P01011,STARHEALTH,STARHEALTH,Small Cap
TVS Holdings Limited,INE105A01035,TVSHLTD,TVSHLTD,Small Cap
Tata Elxsi Ltd,INE670A01012,TATAELXSI,TATAELXSI,Small Cap
Honeywell Automation India Ltd.,INE671A01010,HONAUT,HONAUT,Small Cap
Bandhan Bank Limited,INE545U01014,BANDHANBNK,BANDHANBNK,Small Cap
Gujarat Gas Limited,INE844O01030,GUJGASLTD,GUJGASLTD,Small Cap
Karur Vysya Bank Ltd.,INE036D01028,KARURVYSYA,KARURVYSYA,Small Cap
Metro Brands Limited,INE317I01021,METROBRAND,METROBRAND,Small Cap
